,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,18,0,NA,1,NA,1,2
2,Image 2,26,0,NA,1,NA,NA,1
3,Image 3,25,2,1,NA,1,NA,4
4,Image 4,24,1,NA,1,NA,1,3
5,Image 5,16,1,NA,NA,NA,NA,1
6,Image 6,21,2,NA,1,1,NA,4
7,Image 7,15,0,NA,NA,1,NA,1
8,Image 8,24,1,NA,NA,NA,NA,1
9,Image 9,8,1,NA,NA,NA,NA,1
10,Image 10,16,0,NA,NA,NA,1,1
11,Image 11,20,0,NA,NA,1,NA,1
12,Image 12,20,1,1,NA,NA,NA,2
13,Image 13,24,0,1,NA,1,NA,2
14,Image 14,24,1,NA,NA,NA,1,2
15,Image 15,22,2,NA,1,NA,1,4
16,Image 16,31,3,NA,NA,NA,NA,3
17,Image 17,38,0,1,NA,NA,1,2
18,Image 18,25,1,1,2,1,NA,5
19,Image 19,36,1,NA,NA,NA,NA,1
20,Image 20,37,0,1,1,1,NA,3
21,Image 21,24,0,NA,1,1,NA,2
22,Image 22,20,0,NA,1,1,NA,2
23,Image 23,14,1,NA,NA,NA,NA,1
24,Image 24,27,2,NA,2,NA,1,5
25,Image 25,29,1,NA,NA,NA,NA,1
26,Image 26,29,2,NA,NA,NA,NA,2
27,Image 27,18,0,1,1,NA,NA,2
28,Image 28,30,0,NA,1,NA,NA,1
29,Image 29,31,0,1,NA,NA,NA,1
30,Image 30,22,0,1,NA,NA,NA,1
31,Image 31,30,0,1,NA,NA,NA,1
32,Image 32,32,0,1,NA,NA,NA,1
33,Image 33,27,0,NA,1,NA,NA,1
34,Image 34,16,1,NA,NA,NA,NA,1
35,Image 35,25,1,NA,NA,NA,NA,1
36,Image 36,16,2,NA,NA,NA,NA,2
37,Image 37,21,0,NA,2,NA,NA,2
38,Image 38,13,0,1,NA,1,NA,2
39,Image 39,15,0,1,NA,2,NA,3
40,Image 40,21,1,NA,NA,1,NA,2
41,Image 41,17,0,1,NA,NA,NA,1
42,Image 42,16,1,NA,NA,NA,NA,1
43,Image 43,47,1,NA,NA,NA,NA,1
44,Image 44,23,0,1,NA,NA,NA,1
45,Image 45,26,0,NA,1,NA,NA,1
46,Image 46,29,0,NA,1,NA,NA,1
47,Image 47,40,1,NA,NA,NA,NA,1
48,Image 48,20,0,1,NA,NA,NA,1
49,Image 49,21,0,NA,1,NA,NA,1
50,Image 50,12,0,1,NA,NA,NA,1
