,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,23,0,0,1,0,1,2
2,Image 2,29,0,0,1,0,0,1
3,Image 3,36,1,1,0,1,1,4
4,Image 4,33,0,1,1,1,0,3
5,Image 5,25,1,0,0,0,0,1
6,Image 6,30,0,2,1,1,0,4
7,Image 7,27,0,0,0,1,0,1
8,Image 8,29,0,1,0,0,0,1
9,Image 9,10,1,0,0,0,0,1
10,Image 10,20,0,0,0,0,1,1
11,Image 11,27,0,0,0,1,0,1
12,Image 12,31,1,1,0,0,0,2
13,Image 13,29,0,1,0,1,0,2
14,Image 14,36,1,0,0,0,1,2
15,Image 15,33,2,1,1,0,0,4
16,Image 16,37,1,2,0,0,0,3
17,Image 17,40,0,1,0,0,1,2
18,Image 18,43,1,1,2,1,0,5
19,Image 19,39,1,0,0,0,0,1
20,Image 20,38,1,1,1,0,0,3
21,Image 21,38,0,0,1,1,0,2
22,Image 22,29,0,0,1,1,0,2
23,Image 23,23,1,0,0,0,0,1
24,Image 24,33,2,0,2,1,0,5
25,Image 25,38,1,0,0,0,0,1
26,Image 26,38,2,0,0,0,0,2
27,Image 27,32,0,0,2,0,0,2
28,Image 28,47,0,0,1,0,0,1
29,Image 29,46,0,1,0,0,0,1
30,Image 30,42,0,1,0,0,0,1
31,Image 31,38,0,0,1,0,0,1
32,Image 32,44,0,1,0,0,0,1
33,Image 33,47,0,0,1,0,0,1
34,Image 34,31,0,1,0,0,0,1
35,Image 35,39,0,0,0,0,1,1
36,Image 36,28,1,0,0,0,1,2
37,Image 37,37,0,1,0,0,1,2
38,Image 38,28,0,0,1,1,0,2
39,Image 39,17,0,0,1,1,1,3
40,Image 40,32,1,0,0,1,0,2
41,Image 41,22,0,1,0,0,0,1
42,Image 42,21,0,0,0,0,1,1
43,Image 43,59,0,1,0,0,0,1
44,Image 44,34,0,0,1,0,0,1
45,Image 45,33,0,0,1,0,0,1
46,Image 46,37,0,0,1,0,0,1
47,Image 47,56,0,1,0,0,0,1
48,Image 48,33,0,0,1,0,0,1
49,Image 49,27,0,0,1,0,0,1
50,Image 50,29,0,0,1,0,0,1
