,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,25,NA,NA,1,NA,1,2
2,Image 2,26,NA,NA,1,NA,NA,1
3,Image 3,35,2,1,NA,1,NA,4
4,Image 4,37,NA,1,1,NA,1,3
5,Image 5,26,NA,1,NA,NA,NA,1
6,Image 6,14,2,NA,1,1,NA,4
7,Image 7,24,NA,NA,NA,NA,1,1
8,Image 8,28,NA,1,NA,NA,NA,1
9,Image 9,11,1,NA,NA,NA,NA,1
10,Image 10,24,NA,NA,NA,NA,1,1
11,Image 11,28,NA,NA,NA,1,NA,1
12,Image 12,30,1,NA,1,NA,NA,2
13,Image 13,30,NA,NA,1,NA,1,2
14,Image 14,34,1,NA,NA,NA,1,2
15,Image 15,34,1,1,1,NA,1,4
16,Image 16,36,NA,3,NA,NA,NA,3
17,Image 17,38,NA,1,NA,NA,1,2
18,Image 18,44,1,NA,3,1,NA,5
19,Image 19,38,1,NA,NA,NA,NA,1
20,Image 20,46,NA,1,2,NA,NA,3
21,Image 21,40,NA,NA,1,1,NA,2
22,Image 22,29,NA,NA,1,1,NA,2
23,Image 23,24,1,NA,NA,NA,NA,1
24,Image 24,36,2,NA,2,1,NA,5
25,Image 25,39,1,NA,NA,NA,NA,1
26,Image 26,32,NA,2,NA,NA,NA,2
27,Image 27,28,NA,NA,2,NA,NA,2
28,Image 28,40,NA,NA,1,NA,NA,1
29,Image 29,44,NA,NA,1,NA,NA,1
30,Image 30,36,NA,NA,1,NA,NA,1
31,Image 31,39,NA,NA,1,NA,NA,1
32,Image 32,41,NA,NA,1,NA,NA,1
33,Image 33,37,NA,NA,1,NA,NA,1
34,Image 34,22,NA,1,NA,NA,NA,1
35,Image 35,38,NA,1,NA,NA,NA,1
36,Image 36,25,1,1,NA,NA,NA,2
37,Image 37,32,NA,1,NA,NA,1,2
38,Image 38,25,NA,NA,1,1,NA,2
39,Image 39,20,NA,1,1,1,NA,3
40,Image 40,32,1,NA,NA,1,NA,2
41,Image 41,20,NA,NA,NA,NA,1,1
42,Image 42,21,NA,NA,NA,NA,1,1
43,Image 43,57,NA,1,NA,NA,NA,1
44,Image 44,33,NA,NA,1,NA,NA,1
45,Image 45,31,NA,NA,1,NA,NA,1
46,Image 46,34,NA,NA,1,NA,NA,1
47,Image 47,45,NA,1,NA,NA,NA,1
48,Image 48,35,NA,NA,1,NA,NA,1
49,Image 49,28,NA,NA,1,NA,NA,1
50,Image 50,28,NA,NA,1,NA,NA,1
