,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,21,NA,NA,1,NA,1,2
2,Image 2,27,NA,NA,1,NA,NA,1
3,Image 3,30,1,NA,1,1,1,4
4,Image 4,32,NA,1,1,NA,1,3
5,Image 5,22,NA,1,NA,NA,NA,1
6,Image 6,28,2,NA,1,1,NA,4
7,Image 7,21,NA,NA,NA,1,NA,1
8,Image 8,26,NA,1,NA,NA,NA,1
9,Image 9,9,1,NA,NA,NA,NA,1
10,Image 10,19,NA,NA,NA,NA,1,1
11,Image 11,24,NA,NA,NA,1,NA,1
12,Image 12,27,1,NA,1,NA,NA,2
13,Image 13,26,NA,NA,1,NA,1,2
14,Image 14,33,1,NA,NA,NA,1,2
15,Image 15,31,1,1,1,NA,1,4
16,Image 16,32,NA,3,NA,NA,NA,3
17,Image 17,35,NA,1,NA,NA,1,2
18,Image 18,35,1,NA,3,NA,1,5
19,Image 19,37,1,NA,NA,NA,NA,1
20,Image 20,55,NA,1,2,NA,NA,3
21,Image 21,36,NA,NA,1,1,NA,2
22,Image 22,23,NA,NA,1,1,NA,2
23,Image 23,21,1,NA,NA,NA,NA,1
24,Image 24,28,2,NA,2,1,NA,5
25,Image 25,30,1,NA,NA,NA,NA,1
26,Image 26,31,NA,2,NA,NA,NA,2
27,Image 27,20,NA,NA,2,NA,NA,2
28,Image 28,35,NA,NA,1,NA,NA,1
29,Image 29,39,NA,NA,1,NA,NA,1
30,Image 30,27,NA,NA,1,NA,NA,1
31,Image 31,31,NA,NA,1,NA,NA,1
32,Image 32,34,NA,NA,1,NA,NA,1
33,Image 33,31,NA,NA,1,NA,NA,1
34,Image 34,17,NA,1,NA,NA,NA,1
35,Image 35,32,NA,1,NA,NA,NA,1
36,Image 36,22,1,1,NA,NA,NA,2
37,Image 37,27,NA,1,NA,NA,1,2
38,Image 38,20,NA,NA,1,1,NA,2
39,Image 39,17,NA,1,1,1,NA,3
40,Image 40,29,1,NA,NA,1,NA,2
41,Image 41,19,NA,NA,NA,NA,1,1
42,Image 42,20,NA,NA,NA,NA,1,1
43,Image 43,44,NA,1,NA,NA,NA,1
44,Image 44,30,NA,NA,1,NA,NA,1
45,Image 45,29,NA,NA,1,NA,NA,1
46,Image 46,30,NA,NA,1,NA,NA,1
47,Image 47,42,NA,1,NA,NA,NA,1
48,Image 48,30,NA,NA,1,NA,NA,1
49,Image 49,24,NA,NA,1,NA,NA,1
50,Image 50,18,NA,NA,1,NA,NA,1
