,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,23,NA,NA,1,1,NA,2
2,Image 2,26,NA,NA,1,NA,NA,1
3,Image 3,37,NA,1,NA,1,2,4
4,Image 4,34,NA,1,1,1,NA,3
5,Image 5,25,1,NA,NA,NA,NA,1
6,Image 6,16,2,NA,1,1,NA,4
7,Image 7,25,NA,NA,NA,1,NA,1
8,Image 8,30,1,NA,NA,NA,NA,1
9,Image 9,13,1,NA,NA,NA,NA,1
10,Image 10,25,NA,NA,NA,NA,1,1
11,Image 11,27,NA,NA,NA,1,NA,1
12,Image 12,31,1,NA,1,NA,NA,2
13,Image 13,31,NA,NA,1,1,NA,2
14,Image 14,30,1,NA,NA,NA,1,2
15,Image 15,34,2,1,1,NA,NA,4
16,Image 16,35,2,1,NA,NA,NA,3
17,Image 17,43,1,NA,NA,NA,1,2
18,Image 18,43,NA,1,3,1,NA,5
19,Image 19,38,1,NA,NA,NA,NA,1
20,Image 20,45,1,NA,2,NA,NA,3
21,Image 21,40,NA,NA,1,1,NA,2
22,Image 22,31,NA,NA,1,1,NA,2
23,Image 23,23,1,NA,NA,NA,NA,1
24,Image 24,31,2,NA,2,1,NA,5
25,Image 25,43,1,NA,NA,NA,NA,1
26,Image 26,36,2,NA,NA,NA,NA,2
27,Image 27,25,NA,1,1,NA,NA,2
28,Image 28,43,NA,NA,1,NA,NA,1
29,Image 29,45,NA,NA,1,NA,NA,1
30,Image 30,36,NA,1,NA,NA,NA,1
31,Image 31,40,NA,1,NA,NA,NA,1
32,Image 32,41,NA,NA,1,NA,NA,1
33,Image 33,43,NA,NA,1,NA,NA,1
34,Image 34,22,NA,1,NA,NA,NA,1
35,Image 35,34,1,NA,NA,NA,NA,1
36,Image 36,35,1,NA,NA,NA,1,2
37,Image 37,34,NA,1,NA,NA,1,2
38,Image 38,25,NA,NA,1,1,NA,2
39,Image 39,18,NA,1,NA,1,1,3
40,Image 40,27,1,NA,NA,1,NA,2
41,Image 41,22,NA,NA,NA,NA,1,1
42,Image 42,25,NA,NA,NA,NA,1,1
43,Image 43,48,1,NA,NA,NA,NA,1
44,Image 44,32,NA,NA,1,NA,NA,1
45,Image 45,33,NA,NA,1,NA,NA,1
46,Image 46,38,NA,NA,1,NA,NA,1
47,Image 47,45,1,NA,NA,NA,NA,1
48,Image 48,32,NA,1,NA,NA,NA,1
49,Image 49,29,NA,NA,1,NA,NA,1
50,Image 50,27,NA,1,NA,NA,NA,1
