,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,19,0,0,1,0,1,2
2,Image 2,30,0,0,1,0,0,1
3,Image 3,31,0,1,2,1,0,4
4,Image 4,24,0,1,1,0,1,3
5,Image 5,17,1,0,0,0,0,1
6,Image 6,14,0,2,1,0,1,4
7,Image 7,18,0,0,0,1,0,1
8,Image 8,19,0,1,0,0,0,1
9,Image 9,8,1,0,0,0,0,1
10,Image 10,15,0,1,0,0,0,1
11,Image 11,17,0,0,0,1,0,1
12,Image 12,13,1,1,0,0,0,2
13,Image 13,20,0,1,0,0,1,2
14,Image 14,23,3,0,0,1,0,2
15,Image 15,25,2,1,1,0,0,4
16,Image 16,23,3,0,0,0,0,3
17,Image 17,29,0,1,0,0,1,2
18,Image 18,27,1,1,2,1,0,5
19,Image 19,35,1,0,0,0,0,1
20,Image 20,36,1,0,0,0,0,3
21,Image 21,27,0,1,0,1,0,2
22,Image 22,18,0,0,1,1,0,2
23,Image 23,14,1,0,0,0,0,1
24,Image 24,26,2,0,2,1,0,5
25,Image 25,30,1,0,0,0,0,1
26,Image 26,31,2,0,0,0,0,2
27,Image 27,22,0,1,1,0,0,2
28,Image 28,30,0,1,0,0,0,1
29,Image 29,36,0,1,0,0,0,1
30,Image 30,26,0,0,1,0,0,1
31,Image 31,25,0,0,1,0,0,1
32,Image 32,34,0,0,1,0,0,1
33,Image 33,22,1,0,0,0,0,1
34,Image 34,16,0,1,0,0,0,1
35,Image 35,29,1,0,0,0,0,1
36,Image 36,17,1,1,0,0,0,2
37,Image 37,21,0,1,0,0,1,2
38,Image 38,13,0,0,1,1,0,2
39,Image 39,13,0,0,1,1,1,3
40,Image 40,20,1,0,0,1,0,2
41,Image 41,19,0,1,0,0,0,1
42,Image 42,17,1,0,0,0,0,1
43,Image 43,37,0,1,0,0,0,1
44,Image 44,26,0,0,1,0,0,1
45,Image 45,28,1,0,0,0,0,1
46,Image 46,29,0,0,1,0,0,1
47,Image 47,27,0,1,0,0,0,1
48,Image 48,26,0,0,1,0,0,1
49,Image 49,21,0,0,1,0,0,1
50,Image 50,20,0,0,1,0,0,1
