,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,17,1,NA,1,NA,NA,2
2,Image 2,19,NA,NA,1,NA,NA,1
3,Image 3,22,2,NA,1,1,NA,4
4,Image 4,19,NA,1,1,NA,1,3
5,Image 5,15,NA,1,NA,NA,NA,1
6,Image 6,17,NA,2,1,NA,1,4
7,Image 7,15,NA,NA,NA,1,NA,1
8,Image 8,20,NA,1,NA,NA,NA,1
9,Image 9,6,1,NA,NA,NA,NA,1
10,Image 10,16,1,NA,NA,NA,NA,1
11,Image 11,14,NA,NA,NA,1,NA,1
12,Image 12,19,1,NA,1,NA,NA,2
13,Image 13,20,NA,NA,1,NA,1,2
14,Image 14,23,1,NA,NA,NA,1,2
15,Image 15,21,2,1,1,NA,NA,4
16,Image 16,22,1,2,NA,NA,NA,3
17,Image 17,30,NA,1,NA,NA,1,2
18,Image 18,25,1,NA,3,1,NA,5
19,Image 19,24,1,NA,NA,NA,NA,1
20,Image 20,31,NA,1,2,NA,NA,3
21,Image 21,24,NA,NA,1,1,NA,2
22,Image 22,20,NA,NA,1,1,NA,2
23,Image 23,14,1,NA,NA,NA,NA,1
24,Image 24,18,1,NA,2,1,1,5
25,Image 25,26,1,NA,NA,NA,NA,1
26,Image 26,26,2,NA,NA,NA,NA,2
27,Image 27,16,NA,NA,2,NA,NA,2
28,Image 28,24,NA,NA,1,NA,NA,1
29,Image 29,27,NA,NA,1,NA,NA,1
30,Image 30,20,NA,NA,1,NA,NA,1
31,Image 31,23,NA,NA,NA,1,NA,1
32,Image 32,27,NA,NA,1,NA,NA,1
33,Image 33,25,NA,NA,1,NA,NA,1
34,Image 34,15,NA,NA,NA,1,NA,1
35,Image 35,20,NA,1,NA,NA,NA,1
36,Image 36,13,1,1,NA,NA,NA,2
37,Image 37,17,NA,1,NA,NA,1,2
38,Image 38,16,NA,NA,1,NA,1,2
39,Image 39,12,NA,1,1,1,NA,3
40,Image 40,20,NA,1,NA,1,NA,2
41,Image 41,15,NA,NA,NA,NA,1,1
42,Image 42,13,NA,NA,NA,NA,1,1
43,Image 43,41,NA,1,NA,NA,NA,1
44,Image 44,20,NA,NA,1,NA,NA,1
45,Image 45,19,NA,NA,1,NA,NA,1
46,Image 46,25,NA,NA,1,NA,NA,1
47,Image 47,36,NA,1,NA,NA,NA,1
48,Image 48,24,NA,NA,1,NA,NA,1
49,Image 49,16,NA,NA,1,NA,NA,1
50,Image 50,16,NA,NA,1,NA,NA,1
