,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,20,NA,1,NA,NA,1,2
2,Image 2,27,NA,1,NA,NA,NA,1
3,Image 3,27,NA,1,NA,1,2,4
4,Image 4,24,NA,1,1,NA,1,3
5,Image 5,20,NA,1,NA,NA,NA,1
6,Image 6,27,NA,2,1,NA,1,4
7,Image 7,20,NA,NA,NA,1,NA,1
8,Image 8,23,NA,1,NA,NA,NA,1
9,Image 9,8,1,NA,NA,NA,NA,1
10,Image 10,17,NA,NA,NA,NA,1,1
11,Image 11,18,NA,NA,NA,1,NA,1
12,Image 12,23,NA,NA,1,NA,1,2
13,Image 13,23,NA,NA,1,1,NA,2
14,Image 14,24,NA,NA,NA,1,1,2
15,Image 15,26,1,1,1,NA,1,4
16,Image 16,27,1,2,NA,NA,NA,3
17,Image 17,35,NA,1,NA,NA,1,2
18,Image 18,30,1,1,2,1,NA,5
19,Image 19,34,1,NA,NA,NA,NA,1
20,Image 20,53,NA,NA,NA,2,1,3
21,Image 21,31,NA,NA,1,1,NA,2
22,Image 22,20,NA,NA,1,1,NA,2
23,Image 23,18,1,NA,NA,NA,NA,1
24,Image 24,22,2,NA,2,1,NA,5
25,Image 25,32,1,NA,NA,NA,NA,1
26,Image 26,31,2,NA,NA,NA,NA,2
27,Image 27,19,NA,NA,2,NA,NA,2
28,Image 28,32,NA,NA,1,NA,NA,1
29,Image 29,37,NA,1,NA,NA,NA,1
30,Image 30,25,NA,1,NA,NA,NA,1
31,Image 31,30,NA,1,NA,NA,NA,1
32,Image 32,30,NA,1,NA,NA,NA,1
33,Image 33,28,NA,1,NA,NA,NA,1
34,Image 34,16,NA,1,NA,NA,NA,1
35,Image 35,28,NA,1,NA,NA,NA,1
36,Image 36,17,1,NA,NA,NA,1,2
37,Image 37,19,NA,1,NA,NA,1,2
38,Image 38,18,NA,1,NA,1,NA,2
39,Image 39,13,1,1,NA,1,NA,3
40,Image 40,22,1,NA,NA,1,NA,2
41,Image 41,17,NA,NA,NA,NA,1,1
42,Image 42,14,1,NA,NA,NA,NA,1
43,Image 43,49,NA,1,NA,NA,NA,1
44,Image 44,24,NA,NA,1,NA,NA,1
45,Image 45,27,NA,NA,1,NA,NA,1
46,Image 46,30,NA,1,NA,NA,NA,1
47,Image 47,41,NA,1,NA,NA,NA,1
48,Image 48,26,NA,NA,1,NA,NA,1
49,Image 49,17,NA,1,NA,NA,NA,1
50,Image 50,18,NA,NA,1,NA,NA,1
