,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,20,NA,NA,1,NA,1,2
2,Image 2,29,NA,NA,1,NA,NA,1
3,Image 3,37,1,1,NA,1,1,4
4,Image 4,38,NA,1,1,1,NA,3
5,Image 5,28,NA,1,NA,NA,NA,1
6,Image 6,28,NA,2,1,NA,1,4
7,Image 7,26,NA,NA,NA,1,NA,1
8,Image 8,27,NA,1,NA,NA,NA,1
9,Image 9,10,1,NA,NA,NA,NA,1
10,Image 10,22,NA,NA,NA,NA,1,1
11,Image 11,26,NA,NA,NA,1,NA,1
12,Image 12,26,1,NA,1,NA,NA,2
13,Image 13,29,NA,NA,1,NA,1,2
14,Image 14,33,1,NA,NA,NA,1,2
15,Image 15,33,2,1,1,NA,NA,4
16,Image 16,31,NA,2,1,NA,NA,3
17,Image 17,39,NA,1,NA,NA,1,2
18,Image 18,36,1,1,2,1,NA,5
19,Image 19,39,1,NA,NA,NA,NA,1
20,Image 20,44,1,2,NA,NA,NA,3
21,Image 21,37,NA,NA,1,1,NA,2
22,Image 22,26,NA,NA,1,1,NA,2
23,Image 23,22,1,NA,NA,NA,NA,1
24,Image 24,31,2,NA,2,1,NA,5
25,Image 25,40,1,NA,NA,NA,NA,1
26,Image 26,33,2,NA,NA,NA,NA,2
27,Image 27,25,NA,1,1,NA,NA,2
28,Image 28,34,NA,NA,1,NA,NA,1
29,Image 29,42,NA,1,NA,NA,NA,1
30,Image 30,35,NA,1,NA,NA,NA,1
31,Image 31,36,NA,NA,1,NA,NA,1
32,Image 32,39,NA,1,NA,NA,NA,1
33,Image 33,40,NA,NA,1,NA,NA,1
34,Image 34,19,NA,1,NA,NA,NA,1
35,Image 35,33,NA,1,NA,NA,NA,1
36,Image 36,27,2,NA,NA,NA,NA,2
37,Image 37,32,NA,1,NA,NA,1,2
38,Image 38,22,NA,NA,1,NA,1,2
39,Image 39,18,1,NA,1,NA,1,3
40,Image 40,25,1,NA,NA,NA,1,2
41,Image 41,19,1,NA,NA,NA,NA,1
42,Image 42,17,NA,NA,NA,NA,1,1
43,Image 43,52,NA,1,NA,NA,NA,1
44,Image 44,31,NA,NA,1,NA,NA,1
45,Image 45,31,NA,NA,1,NA,NA,1
46,Image 46,36,NA,NA,1,NA,NA,1
47,Image 47,45,NA,1,NA,NA,NA,1
48,Image 48,31,NA,1,NA,NA,NA,1
49,Image 49,26,NA,NA,1,NA,NA,1
50,Image 50,27,NA,NA,1,NA,NA,1
