,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,20,NA,1,1,NA,NA,2
2,Image 2,26,NA,NA,1,NA,NA,1
3,Image 3,30,2,NA,1,1,NA,4
4,Image 4,25,1,1,NA,NA,1,3
5,Image 5,21,1,NA,NA,NA,NA,1
6,Image 6,24,NA,2,1,NA,1,4
7,Image 7,21,NA,NA,NA,NA,1,1
8,Image 8,22,1,NA,NA,NA,NA,1
9,Image 9,8,1,NA,NA,NA,NA,1
10,Image 10,19,NA,1,NA,NA,NA,1
11,Image 11,22,NA,NA,NA,1,NA,1
12,Image 12,24,NA,1,NA,NA,1,2
13,Image 13,28,NA,1,NA,1,NA,2
14,Image 14,26,NA,1,NA,NA,1,2
15,Image 15,23,1,1,1,NA,1,4
16,Image 16,27,1,1,1,NA,NA,3
17,Image 17,34,NA,1,NA,NA,1,2
18,Image 18,30,1,1,2,NA,1,5
19,Image 19,30,1,NA,NA,NA,NA,1
20,Image 20,51,NA,2,1,NA,NA,3
21,Image 21,30,NA,NA,1,1,NA,2
22,Image 22,20,NA,1,NA,1,NA,2
23,Image 23,18,1,NA,NA,NA,NA,1
24,Image 24,23,2,1,1,NA,1,5
25,Image 25,35,NA,1,NA,NA,NA,1
26,Image 26,33,2,NA,NA,NA,NA,2
27,Image 27,19,NA,1,1,NA,NA,2
28,Image 28,32,NA,1,NA,NA,NA,1
29,Image 29,40,NA,1,NA,NA,NA,1
30,Image 30,28,NA,1,NA,NA,NA,1
31,Image 31,28,NA,NA,NA,1,NA,1
32,Image 32,30,NA,1,NA,NA,NA,1
33,Image 33,30,NA,NA,1,NA,NA,1
34,Image 34,17,NA,1,NA,NA,NA,1
35,Image 35,27,1,NA,NA,NA,NA,1
36,Image 36,16,1,NA,NA,NA,1,2
37,Image 37,20,NA,2,NA,NA,NA,2
38,Image 38,17,1,NA,1,NA,NA,2
39,Image 39,15,1,1,NA,1,NA,3
40,Image 40,22,1,NA,NA,1,NA,2
41,Image 41,17,NA,1,NA,NA,NA,1
42,Image 42,16,1,NA,NA,NA,NA,1
43,Image 43,52,NA,1,NA,NA,NA,1
44,Image 44,25,NA,1,NA,NA,NA,1
45,Image 45,28,NA,NA,1,NA,NA,1
46,Image 46,28,NA,NA,1,NA,NA,1
47,Image 47,36,1,NA,NA,NA,NA,1
48,Image 48,28,NA,1,NA,NA,NA,1
49,Image 49,20,NA,1,NA,NA,NA,1
50,Image 50,16,NA,1,NA,NA,NA,1
