,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,25,0,0,1,0,1,2
2,Image 2,18,0,0,1,0,0,1
3,Image 3,19,1,1,0,1,1,4
4,Image 4,20,0,1,1,1,0,3
5,Image 5,16,0,1,0,0,0,1
6,Image 6,21,0,2,1,1,0,4
7,Image 7,17,0,0,0,1,0,1
8,Image 8,22,0,1,0,0,0,1
9,Image 9,7,1,0,0,0,0,1
10,Image 11,15,0,0,0,1,0,1
11,Image 12,21,1,0,1,0,0,2
12,Image 13,20,0,0,1,1,0,2
13,Image 14,22,1,0,0,0,1,2
14,Image 15,24,2,1,1,0,0,4
15,Image 16,19,0,3,0,0,0,3
16,Image 17,32,0,1,0,1,0,2
17,Image 18,24,1,0,3,1,0,5
18,Image 19,27,1,0,0,0,0,1
19,Image 20,13,1,0,2,0,0,3
20,Image 21,21,0,0,1,1,0,2
21,Image 22,20,0,0,1,1,0,2
22,Image 23,16,1,0,0,0,0,1
23,Image 24,17,2,0,2,1,0,5
24,Image 25,26,1,0,0,0,0,1
25,Image 26,24,2,0,0,0,0,2
26,Image 27,17,0,0,2,0,0,2
27,Image 28,27,0,0,1,0,0,1
28,Image 29,29,0,0,1,0,0,1
29,Image 30,21,0,0,1,0,0,1
30,Image 31,23,0,0,1,0,0,1
31,Image 32,25,0,0,1,0,0,1
32,Image 33,21,0,0,1,0,0,1
33,Image 34,15,0,1,0,0,0,1
34,Image 35,20,0,1,0,0,0,1
35,Image 36,12,1,1,0,0,0,2
36,Image 37,19,0,1,0,0,1,2
37,Image 38,16,0,0,1,1,0,2
38,Image 39,15,0,1,1,1,0,3
39,Image 40,22,1,0,0,1,0,2
40,Image 41,14,0,0,1,0,0,1
41,Image 42,14,0,0,0,0,1,1
42,Image 43,39,0,1,0,0,0,1
43,Image 44,23,0,0,1,0,0,1
44,Image 45,25,0,0,1,0,0,1
45,Image 46,26,0,0,1,0,0,1
46,Image 47,33,0,1,0,0,0,1
47,Image 48,23,0,0,1,0,0,1
48,Image 49,17,0,0,1,0,0,1
49,Image 50,17,0,0,1,0,0,1
