,Image.Identity,Interphase,Prophase,Prometaphase,Metaphase,Anaphase,Telophase,Number.of.dividing.cells.to.look.for:
1,Image 1,13,NA,NA,1,NA,1,2
2,Image 2,14,NA,NA,1,NA,NA,1
3,Image 3,18,1,NA,1,1,1,4
4,Image 4,15,NA,NA,1,1,NA,3
5,Image 5,15,NA,1,NA,NA,NA,1
6,Image 6,11,NA,1,1,1,NA,4
7,Image 7,13,NA,2,NA,1,NA,1
8,Image 8,15,1,NA,NA,NA,NA,1
9,Image 9,2,1,NA,NA,NA,NA,1
10,Image 10,8,NA,NA,NA,NA,1,1
11,Image 11,13,NA,NA,NA,1,NA,1
12,Image 12,16,1,NA,1,NA,NA,2
13,Image 13,17,NA,NA,1,1,NA,2
14,Image 14,22,1,NA,NA,NA,1,2
15,Image 15,19,1,NA,1,NA,1,4
16,Image 16,24,2,1,NA,NA,NA,3
17,Image 17,29,NA,1,NA,NA,1,2
18,Image 18,24,NA,1,3,1,NA,5
19,Image 19,26,NA,1,NA,NA,NA,1
20,Image 20,48,NA,1,2,NA,1,3
21,Image 21,24,NA,NA,1,1,NA,2
22,Image 22,18,NA,NA,1,1,NA,2
23,Image 23,13,NA,NA,NA,NA,NA,1
24,Image 24,17,2,1,2,1,NA,5
25,Image 25,26,NA,NA,NA,NA,NA,1
26,Image 26,24,NA,1,NA,NA,NA,2
27,Image 27,14,NA,2,2,NA,NA,2
28,Image 28,29,NA,NA,1,NA,NA,1
29,Image 29,26,NA,NA,1,NA,NA,1
30,Image 30,22,NA,NA,1,NA,NA,1
31,Image 31,25,NA,NA,1,NA,NA,1
32,Image 32,23,NA,NA,1,NA,NA,1
33,Image 33,24,NA,NA,1,NA,NA,1
34,Image 34,14,NA,NA,NA,NA,NA,1
35,Image 35,24,NA,1,NA,NA,NA,1
36,Image 36,15,NA,1,NA,NA,1,2
37,Image 37,21,NA,1,NA,NA,1,2
38,Image 38,13,NA,1,1,1,NA,2
39,Image 39,12,NA,NA,1,1,1,3
40,Image 40,19,NA,NA,NA,1,NA,2
41,Image 41,15,NA,1,NA,NA,1,1
42,Image 42,14,NA,NA,NA,NA,1,1
43,Image 43,46,NA,NA,NA,NA,NA,1
44,Image 44,21,NA,1,1,NA,NA,1
45,Image 45,19,NA,NA,1,NA,NA,1
46,Image 46,30,NA,NA,1,NA,NA,1
47,Image 47,34,1,NA,NA,NA,NA,1
48,Image 48,25,NA,NA,1,NA,NA,1
49,Image 49,18,NA,NA,1,NA,NA,1
50,Image 50,20,NA,NA,1,NA,NA,1
